hour,column,missing_count,total_rows,missing_rate,missing_percent
0,pty,37557.0,4605300.0,0.008155169044361931,0.8155169044361931
1,pty,249916.0,4605300.0,0.05426704014939309,5.426704014939309
2,pty,36678.0,4498200.0,0.008153928237961851,0.8153928237961852
3,pty,38455.0,4712400.0,0.008160385366267718,0.8160385366267718
4,pty,38654.0,4712400.0,0.008202614379084967,0.8202614379084967
5,pty,38531.0,4712400.0,0.008176513029454206,0.8176513029454207
6,pty,38626.0,4712400.0,0.008196672608437315,0.8196672608437314
7,pty,41489.0,4712400.0,0.008804218657159834,0.8804218657159835
8,pty,38297.0,4712400.0,0.00812685680332739,0.812685680332739
9,pty,38526.0,4712400.0,0.00817545199898141,0.817545199898141
10,pty,38469.0,4712400.0,0.008163356251591546,0.8163356251591546
11,pty,38507.0,4712400.0,0.00817142008318479,0.8171420083184789
12,pty,40095.0,4926600.0,0.008138472780416515,0.8138472780416515
13,pty,40384.0,4926600.0,0.008197133926034182,0.8197133926034182
14,pty,39270.0,4819500.0,0.008148148148148147,0.8148148148148148
15,pty,39375.0,4819500.0,0.008169934640522876,0.8169934640522877
16,pty,41364.0,5033700.0,0.008217414625424638,0.8217414625424638
17,pty,40362.0,4926600.0,0.008192668371696505,0.8192668371696505
18,pty,39307.0,4819500.0,0.008155825293080196,0.8155825293080196
19,pty,145569.0,4819500.0,0.030204170557111734,3.0204170557111736
20,pty,38492.0,4712400.0,0.008168236991766404,0.8168236991766404
21,pty,37491.0,4605300.0,0.008140837730441013,0.8140837730441013
22,pty,37459.0,4605300.0,0.008133889214600568,0.8133889214600568
23,pty,37492.0,4605300.0,0.008141054871561028,0.8141054871561029
0,reh,44120.0,4605300.0,0.009580266215013136,0.9580266215013136
1,reh,255793.0,4605300.0,0.055543178511714766,5.554317851171477
2,reh,43277.0,4498200.0,0.009620959494909074,0.9620959494909074
3,reh,44990.0,4712400.0,0.009547152194211019,0.9547152194211018
4,reh,44582.0,4712400.0,0.00946057210763093,0.946057210763093
5,reh,44409.0,4712400.0,0.009423860453272218,0.9423860453272217
6,reh,44631.0,4712400.0,0.009470970206264324,0.9470970206264324
7,reh,47706.0,4712400.0,0.010123503947033359,1.0123503947033359
8,reh,44707.0,4712400.0,0.00948709786945081,0.948709786945081
9,reh,45059.0,4712400.0,0.009561794414735592,0.9561794414735592
10,reh,45815.0,4712400.0,0.009722222222222222,0.9722222222222222
11,reh,45913.0,4712400.0,0.009743018419489007,0.9743018419489007
12,reh,47815.0,4926600.0,0.009705476393455934,0.9705476393455934
13,reh,47990.0,4926600.0,0.009740997848414729,0.9740997848414729
14,reh,46947.0,4819500.0,0.009741051976346095,0.9741051976346095
15,reh,47156.0,4819500.0,0.00978441747069198,0.9784417470691981
16,reh,49466.0,5033700.0,0.009826966247491905,0.9826966247491905
17,reh,48024.0,4926600.0,0.009747899159663866,0.9747899159663866
18,reh,47201.0,4819500.0,0.009793754538852579,0.9793754538852579
19,reh,153180.0,4819500.0,0.03178338001867414,3.178338001867414
20,reh,45479.0,4712400.0,0.009650920974450387,0.9650920974450387
21,reh,44416.0,4605300.0,0.00964453998653725,0.964453998653725
22,reh,44054.0,4605300.0,0.00956593490109222,0.956593490109222
23,reh,43881.0,4605300.0,0.009528369487329815,0.9528369487329815
0,rn1,58709.0,4605300.0,0.01274813801489588,1.274813801489588
1,rn1,253815.0,4605300.0,0.05511367337632728,5.511367337632728
2,rn1,40779.0,4498200.0,0.0090656262505002,0.90656262505002
3,rn1,42835.0,4712400.0,0.009089848060436296,0.9089848060436296
4,rn1,42871.0,4712400.0,0.00909748747984042,0.909748747984042
5,rn1,42578.0,4712400.0,0.009035311094134623,0.9035311094134623
6,rn1,43210.0,4712400.0,0.009169425345895934,0.9169425345895934
7,rn1,45727.0,4712400.0,0.009703548085901027,0.9703548085901027
8,rn1,42428.0,4712400.0,0.009003480179950769,0.9003480179950769
9,rn1,42574.0,4712400.0,0.009034462269756387,0.9034462269756387
10,rn1,42783.0,4712400.0,0.009078813343519225,0.9078813343519225
11,rn1,42807.0,4712400.0,0.009083906289788642,0.9083906289788642
12,rn1,45264.0,4926600.0,0.00918767507002801,0.9187675070028011
13,rn1,44756.0,4926600.0,0.009084561360776195,0.9084561360776195
14,rn1,43842.0,4819500.0,0.009096794273264862,0.9096794273264862
15,rn1,43855.0,4819500.0,0.009099491648511256,0.9099491648511256
16,rn1,45854.0,5033700.0,0.009109402626298746,0.9109402626298746
17,rn1,44821.0,4926600.0,0.009097755044046604,0.9097755044046604
