hour,column,missing_count,total_rows,missing_rate,missing_percent
0,pty,37088.0,4605300.0,0.008053329859075413,0.8053329859075413
1,pty,249329.0,4605300.0,0.054139578311944936,5.413957831194494
2,pty,36332.0,4498200.0,0.008077008581210262,0.8077008581210262
3,pty,38030.0,4712400.0,0.008070197776080128,0.8070197776080128
4,pty,38030.0,4712400.0,0.008070197776080128,0.8070197776080128
5,pty,38030.0,4712400.0,0.008070197776080128,0.8070197776080128
6,pty,38030.0,4712400.0,0.008070197776080128,0.8070197776080128
7,pty,40970.0,4712400.0,0.008694083694083693,0.8694083694083693
8,pty,38013.0,4712400.0,0.008066590272472626,0.8066590272472627
9,pty,38013.0,4712400.0,0.008066590272472626,0.8066590272472627
10,pty,38013.0,4712400.0,0.008066590272472626,0.8066590272472627
11,pty,38013.0,4712400.0,0.008066590272472626,0.8066590272472627
12,pty,39879.0,4926600.0,0.00809462915601023,0.809462915601023
13,pty,39904.0,4926600.0,0.008099703649575773,0.8099703649575773
14,pty,38887.0,4819500.0,0.008068679323581284,0.8068679323581284
15,pty,38887.0,4819500.0,0.008068679323581284,0.8068679323581284
16,pty,40585.0,5033700.0,0.00806265768718835,0.806265768718835
17,pty,39736.0,4926600.0,0.00806560305281533,0.806560305281533
18,pty,38887.0,4819500.0,0.008068679323581284,0.8068679323581284
19,pty,145037.0,4819500.0,0.030093785662413112,3.009378566241311
20,pty,37937.0,4712400.0,0.008050462609286138,0.8050462609286139
21,pty,37088.0,4605300.0,0.008053329859075413,0.8053329859075413
22,pty,37088.0,4605300.0,0.008053329859075413,0.8053329859075413
23,pty,37088.0,4605300.0,0.008053329859075413,0.8053329859075413
0,reh,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
1,reh,253167.0,4605300.0,0.05497296593055827,5.497296593055827
2,reh,39968.0,4498200.0,0.008885331910541994,0.8885331910541994
3,reh,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
4,reh,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
5,reh,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
6,reh,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
7,reh,44808.0,4712400.0,0.009508530685001274,0.9508530685001274
8,reh,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
9,reh,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
10,reh,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
11,reh,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
12,reh,43768.0,4926600.0,0.008884017375065969,0.8884017375065969
13,reh,43768.0,4926600.0,0.008884017375065969,0.8884017375065969
14,reh,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
15,reh,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
16,reh,44701.0,5033700.0,0.008880346464827065,0.8880346464827065
17,reh,43751.0,4926600.0,0.0088805667194414,0.88805667194414
18,reh,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
19,reh,148951.0,4819500.0,0.030905903101981533,3.090590310198153
20,reh,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
21,reh,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
22,reh,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
23,reh,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
0,rn1,58109.0,4605300.0,0.012617853342887543,1.2617853342887544
1,rn1,253167.0,4605300.0,0.05497296593055827,5.497296593055827
2,rn1,39968.0,4498200.0,0.008885331910541994,0.8885331910541994
3,rn1,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
4,rn1,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
5,rn1,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
6,rn1,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
7,rn1,44833.0,4712400.0,0.009513835837365248,0.9513835837365249
8,rn1,41876.0,4712400.0,0.008886342415754181,0.8886342415754181
9,rn1,41876.0,4712400.0,0.008886342415754181,0.8886342415754181
10,rn1,41978.0,4712400.0,0.008907987437399203,0.8907987437399203
11,rn1,42003.0,4712400.0,0.008913292589763177,0.8913292589763178
12,rn1,43970.0,4926600.0,0.008925019283075548,0.8925019283075548
13,rn1,43970.0,4926600.0,0.008925019283075548,0.8925019283075548
14,rn1,43058.0,4819500.0,0.008934121796866895,0.8934121796866895
15,rn1,43058.0,4819500.0,0.008934121796866895,0.8934121796866895
16,rn1,44853.0,5033700.0,0.008910542940580487,0.8910542940580487
17,rn1,43903.0,4926600.0,0.008911419640319896,0.8911419640319896
18,rn1,42953.0,4819500.0,0.008912335304492168,0.8912335304492168
19,rn1,149103.0,4819500.0,0.030937441643323998,3.0937441643323997
20,rn1,42003.0,4712400.0,0.008913292589763177,0.8913292589763178
21,rn1,41053.0,4605300.0,0.008914294399930515,0.8914294399930516
22,rn1,41053.0,4605300.0,0.008914294399930515,0.8914294399930516
23,rn1,41053.0,4605300.0,0.008914294399930515,0.8914294399930516
0,t1h,40901.0,4605300.0,0.008881288949688402,0.8881288949688402
1,t1h,253167.0,4605300.0,0.05497296593055827,5.497296593055827
2,t1h,39968.0,4498200.0,0.008885331910541994,0.8885331910541994
3,t1h,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
4,t1h,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
5,t1h,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
6,t1h,41868.0,4712400.0,0.008884644766997709,0.8884644766997709
7,t1h,44808.0,4712400.0,0.009508530685001274,0.9508530685001274
8,t1h,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
9,t1h,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
10,t1h,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
11,t1h,41851.0,4712400.0,0.008881037263390205,0.8881037263390205
12,t1h,43768.0,4926600.0,0.008884017375065969,0.8884017375065969
13,t1h,43768.0,4926600.0,0.008884017375065969,0.8884017375065969
14,t1h,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
15,t1h,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
16,t1h,44701.0,5033700.0,0.008880346464827065,0.8880346464827065
17,t1h,43751.0,4926600.0,0.0088805667194414,0.88805667194414
18,t1h,42801.0,4819500.0,0.008880796763149705,0.8880796763149704
