column,missing_count,total_rows,missing_rate,missing_percent
pty,1238894,113740200,0.010892314238941025,1.0892314238941025
reh,1331616,113740200,0.01170752293384397,1.170752293384397
rn1,1351312,113740200,0.01188068950116142,1.1880689501161419
t1h,1331616,113740200,0.01170752293384397,1.170752293384397
uuu,1323839,113740200,0.011639147812295038,1.1639147812295036
vec,1331616,113740200,0.01170752293384397,1.170752293384397
vvv,1323839,113740200,0.011639147812295038,1.1639147812295036
wsd,1331616,113740200,0.01170752293384397,1.170752293384397
x,0,113740200,0.0,0.0
y,0,113740200,0.0,0.0
